gene_cvig	gene_spis	pfam	og	treatment	baseMean_spis	log2FoldChange_spis	lfcSE_spis	pvalue_spis	padj_spis	label_spis	baseMean_cvig	log2FoldChange_cvig	lfcSE_cvig	pvalue_cvig	padj_cvig
Cvig_XP_022298078.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	239.370752091278	1.16671542140941	0.207236047261989	3.36572877197984e-09	4.36382713161134e-08
Cvig_XP_022322387.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	140.287646475764	1.02161964007258	0.368904233342727	0.00137664190704794	0.0055046481122864
Cvig_XP_022323065.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	595.175695451328	2.39611415207838	0.222415579653399	4.24449360919608e-29	4.73118554424348e-27
Cvig_XP_022325149.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	15.9675132056789	1.28407042508919	0.331714688088051	1.36777637800914e-05	9.1007183809952e-05
Cvig_XP_022326099.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	951.199779333325	2.09975714222607	0.25563860358508	3.01626289916998e-18	1.20593172565674e-16
Cvig_XP_022326104.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	31.3642987769113	1.62346242260037	0.454996928284412	1.64038002186079e-05	0.000107023345997101
Cvig_XP_022326105.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	171.755648727453	2.11065100322491	0.407370977531636	3.06042798992221e-09	3.99922124863695e-08
Cvig_XP_022326106.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	229.507857850764	2.10934436920038	0.390923296063249	9.48566489366441e-10	1.3382169010315e-08
Cvig_XP_022326108.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	93.0571568185677	2.7048722512314	0.527640013617146	1.90741762180451e-09	2.56586306523767e-08
Cvig_XP_022326987.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	465.509089098155	1.2180699487176	0.167447788677719	5.73978276021208e-14	1.46489843989393e-12
Cvig_XP_022328366.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	422.485191599389	1.06750900941532	0.216958645219718	2.08218217301874e-07	1.97660056117593e-06
Cvig_XP_022342529.1	Spis_XP_022802774_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	1269.99241605384	1.0548988085996	0.26335104377693	2.00339947298245e-06	6.47756643905441e-05	none	308.50579019047	2.0059821484248	0.27732975170719	8.13329661288331e-15	2.2604831863736e-13
Cvig_XP_022299199.1	Spis_XP_022802305_1	TMEM43/	transmembrane_protein_43	cApUp	2073.40310736112	1.06379280022334	0.320299974580444	2.41606982836444e-05	0.000567354019835509	none	72.9195426255562	1.00077909606003	0.35201232427244	0.00116689988718546	0.00476564693698413
Cvig_XP_022288313.1	Spis_XP_022790065_1	z-alpha/dsrm/A_deamin/	adenosine_deaminase_RNA_specific	cApUp	1337.39815433549	1.07383600342094	0.236220619589154	1.92336581597303e-07	7.7815209759487e-06	none	684.850118061645	2.04162174267099	0.190336388959393	1.21219519028652e-28	1.308605508272e-26
Cvig_XP_022341761.1	Spis_XP_022785195_1	Rrp44_CSD1/OB_Dis3/RNB/Dis3l2_C_term/	DIS3_like_3_5_exoribonuclease_2	cApUp	2932.53856487111	1.07672743245732	0.293243464076831	7.05463028987372e-06	0.000195780566226413	none	1592.45248703997	2.29415650656978	0.223149687744342	8.80440032275483e-27	7.93528023375146e-25
Cvig_XP_022318171.1	Spis_XP_022797830_1	AAA_11/AAA_11/AAA_12/	helicase_with_zinc_finger	cApUp	1181.47670986746	1.08497190242973	0.411889633576787	0.00018234974218585	0.00309257795080851	none	2578.5543596245	1.19086863779539	0.370143067490705	0.000205459527316732	0.00103269929719667
Cvig_XP_022288745.1	Spis_XP_022785421_1	""	von_Willebrand_factor_A_domain_containing_7	cApUp	1415.26460256334	1.08686446272329	0.358430789694726	5.85940186014339e-05	0.00120816754495202	none	2711.20622586051	1.36844183930847	0.217504160116517	3.30244924579057e-11	5.852570868453e-10
Cvig_XP_022292002.1	Spis_XP_022797653_1	""	ring_finger_protein_213	cApUp	1627.24791264988	1.08750622681523	0.336036576364873	3.10514295556891e-05	0.000707262503038786	none	1032.30198842139	1.4340007886845	0.282285951319279	3.1803204418068e-08	3.49923991408425e-07
Cvig_XP_022292681.1	Spis_XP_022797653_1	""	ring_finger_protein_213	cApUp	1627.24791264988	1.08750622681523	0.336036576364873	3.10514295556891e-05	0.000707262503038786	none	786.589306170527	1.153749984686	0.279954582324395	7.01015105205151e-06	4.9581886757167e-05
Cvig_XP_022293318.1	Spis_XP_022797653_1	""	ring_finger_protein_213	cApUp	1627.24791264988	1.08750622681523	0.336036576364873	3.10514295556891e-05	0.000707262503038786	none	1014.2205036312	1.21990008346704	0.216952915397966	3.01662211211131e-09	3.94688280906476e-08
Cvig_XP_022293484.1	Spis_XP_022797653_1	""	ring_finger_protein_213	cApUp	1627.24791264988	1.08750622681523	0.336036576364873	3.10514295556891e-05	0.000707262503038786	none	5850.02988680951	2.32218738047958	0.425041733021001	4.5340350335845e-10	6.69911639973878e-09
Cvig_XP_022294796.1	Spis_XP_022797653_1	""	ring_finger_protein_213	cApUp	1627.24791264988	1.08750622681523	0.336036576364873	3.10514295556891e-05	0.000707262503038786	none	1877.92351865474	1.50567718515993	0.243553417532277	4.38060110787032e-11	7.63037338198616e-10
Cvig_XP_022296595.1	Spis_XP_022799677_1	EGF_3/TLD/	signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	cApUp	996.586873368334	1.09699737486972	0.634837381522247	0.00159290560334414	0.0171913861855865	none	661.611401993539	1.63422525442785	0.21304760607829	8.14873623101389e-16	2.52506762679109e-14
Cvig_XP_022297056.1	Spis_XP_022799677_1	EGF_3/TLD/	signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	cApUp	996.586873368334	1.09699737486972	0.634837381522247	0.00159290560334414	0.0171913861855865	none	3.20696484669991	1.64002344070943	0.88692502360737	0.0022264094793062	0.00834705098938839
Cvig_XP_022297478.1	Spis_XP_022799677_1	EGF_3/TLD/	signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	cApUp	996.586873368334	1.09699737486972	0.634837381522247	0.00159290560334414	0.0171913861855865	none	37.2507249067933	1.66410252170088	0.841535784530088	0.00163102580403208	0.00637397286771458
Cvig_XP_022300537.1	Spis_XP_022799677_1	EGF_3/TLD/	signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	cApUp	996.586873368334	1.09699737486972	0.634837381522247	0.00159290560334414	0.0171913861855865	none	785.092602851656	1.96931325487216	0.247661714563595	3.45675300483589e-17	1.22934919433538e-15
Cvig_XP_022300549.1	Spis_XP_022799677_1	EGF_3/TLD/	signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	cApUp	996.586873368334	1.09699737486972	0.634837381522247	0.00159290560334414	0.0171913861855865	none	521.037671911396	3.74615348862201	0.395808126385157	2.17905173575823e-23	1.41146174547214e-21
Cvig_XP_022300555.1	Spis_XP_022799677_1	EGF_3/TLD/	signal_peptide_CUB_domain_and_EGF_like_domain_containing_2	cApUp	996.586873368334	1.09699737486972	0.634837381522247	0.00159290560334414	0.0171913861855865	none	3.99849655455532	2.3069972654091	1.72805680459356	0.00074819727974159	0.00323535067710054
Cvig_XP_022287767.1	Spis_XP_022809771_1	AAA_11/AAA_11/AAA_12/	zinc_finger_NFX1_type_containing_1	cApUp	7.45461499614367	1.09857988141102	0.766971977609925	0.00290747391665835	0.0272100898567639	none	314.79855845983	1.76995230453981	0.53470451453315	2.82722785752451e-05	0.000174632666468789
Cvig_XP_022287842.1	Spis_XP_022809771_1	AAA_11/AAA_11/AAA_12/	zinc_finger_NFX1_type_containing_1	cApUp	7.45461499614367	1.09857988141102	0.766971977609925	0.00290747391665835	0.0272100898567639	none	4489.60081829759	3.66927119534122	0.239510028581548	4.9778697773188e-55	3.2713937942817e-52
Cvig_XP_022311237.1	Spis_XP_022784318_1	HEPN_DZIP3/NB-ARC/TPR_12/	DAZ_interacting_zinc_finger_protein_3	cApUp	358.361353142963	1.13227648237362	0.323709865603294	1.24440672511947e-05	0.000318986090301616	none	2.00109084379507	1.27457934654887	0.80223130077581	0.00946571737620881	0.0285464679380982
Cvig_XP_022325239.1	Spis_XP_022779150_1	HSP70/	hypoxia_up_regulated_1	cApUp	12052.6689139215	1.14467657827831	0.34036761598251	1.94426711838843e-05	0.000469219126127705	none	1365.57671495945	1.88902695937477	0.16679058701205	2.25590349321526e-31	3.12116121462611e-29
Cvig_XP_022324234.1	Spis_XP_022781154_1	zf-RanBP/zf-RanBP/Peptidase_C2/	calpain_15	cApUp	1760.5578725783	1.14482076675735	0.26560512223597	5.19652116660601e-07	1.91157162037936e-05	none	721.622631608435	2.17385484998831	0.365247607307901	3.26340314701351e-11	5.78987920542977e-10
Cvig_XP_022293218.1	Spis_XP_022808324_1	Death/NB-ARC/TPR_12/	THO_complex_1	cApUp	19.3868613030462	1.14752682480818	0.372423125964284	4.75269099330079e-05	0.00102289495371502	none	57.1719408834901	1.45521216483885	0.329535987797907	7.79027241417281e-07	6.67239053231283e-06
Cvig_XP_022293505.1	Spis_XP_022808324_1	Death/NB-ARC/TPR_12/	THO_complex_1	cApUp	19.3868613030462	1.14752682480818	0.372423125964284	4.75269099330079e-05	0.00102289495371502	none	826.297963868729	1.20365242553745	0.165764382442518	6.58606072525645e-14	1.66739394525052e-12
Cvig_XP_022297648.1	Spis_XP_022808324_1	Death/NB-ARC/TPR_12/	THO_complex_1	cApUp	19.3868613030462	1.14752682480818	0.372423125964284	4.75269099330079e-05	0.00102289495371502	none	241.497006021315	1.30228841100666	0.338876439083055	1.45140185492893e-05	9.60043437067164e-05
Cvig_XP_022334209.1	Spis_XP_022809855_1	PARP/	TCDD_inducible_poly_ADP_ribose_polymerase	cApUp	26.9362267776734	1.15015073227276	0.484280750929798	0.000331269482016692	0.00500760157188705	none	2360.68274137604	1.53188356423208	0.152003786877797	4.56408767221487e-25	3.51156452731751e-23
Cvig_XP_022342382.1	Spis_XP_022809855_1	PARP/	TCDD_inducible_poly_ADP_ribose_polymerase	cApUp	26.9362267776734	1.15015073227276	0.484280750929798	0.000331269482016692	0.00500760157188705	none	203.169060473754	1.0439745930771	0.203947668030271	7.91157319619027e-08	8.12139851851031e-07
Cvig_XP_022344604.1	Spis_XP_022809855_1	PARP/	TCDD_inducible_poly_ADP_ribose_polymerase	cApUp	26.9362267776734	1.15015073227276	0.484280750929798	0.000331269482016692	0.00500760157188705	none	372.483368751135	1.26775044757642	0.172213349479632	2.60254524680839e-14	6.83574436391096e-13
Cvig_XP_022286972.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	425.365477509428	1.03672547285824	0.225784060243442	1.13985278310132e-06	9.46476863462254e-06
Cvig_XP_022296417.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	257.646821670419	1.54060246319749	0.300812945018196	1.85252652115751e-08	2.12192988779642e-07
Cvig_XP_022298078.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	239.370752091278	1.16671542140941	0.207236047261989	3.36572877197984e-09	4.36382713161134e-08
Cvig_XP_022300280.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	535.378000316265	3.00346242962874	0.284990559616562	4.57962696578168e-28	4.72105662207788e-26
Cvig_XP_022322387.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	140.287646475764	1.02161964007258	0.368904233342727	0.00137664190704794	0.0055046481122864
Cvig_XP_022323065.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	595.175695451328	2.39611415207838	0.222415579653399	4.24449360919608e-29	4.73118554424348e-27
Cvig_XP_022324858.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	807.874637752124	1.41450574448644	0.157616399672068	2.67318705763067e-20	1.29135812761041e-18
Cvig_XP_022325149.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	15.9675132056789	1.28407042508919	0.331714688088051	1.36777637800914e-05	9.1007183809952e-05
Cvig_XP_022326099.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	951.199779333325	2.09975714222607	0.25563860358508	3.01626289916998e-18	1.20593172565674e-16
Cvig_XP_022326104.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	31.3642987769113	1.62346242260037	0.454996928284412	1.64038002186079e-05	0.000107023345997101
Cvig_XP_022326105.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	171.755648727453	2.11065100322491	0.407370977531636	3.06042798992221e-09	3.99922124863695e-08
Cvig_XP_022326106.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	229.507857850764	2.10934436920038	0.390923296063249	9.48566489366441e-10	1.3382169010315e-08
Cvig_XP_022326108.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	93.0571568185677	2.7048722512314	0.527640013617146	1.90741762180451e-09	2.56586306523767e-08
Cvig_XP_022326987.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	465.509089098155	1.2180699487176	0.167447788677719	5.73978276021208e-14	1.46489843989393e-12
Cvig_XP_022326993.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	702.198151812578	1.36752946736182	0.132783165255023	7.73653845253095e-26	6.37203930770467e-24
Cvig_XP_022327372.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	648.332248979008	1.2671627838867	0.13589023984987	1.61263853286723e-21	8.63678820361575e-20
Cvig_XP_022328366.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	422.485191599389	1.06750900941532	0.216958645219718	2.08218217301874e-07	1.97660056117593e-06
Cvig_XP_022328451.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	907.482791047392	3.36928912263779	0.238152967631555	1.71757876211478e-47	7.63112986632544e-45
Cvig_XP_022342529.1	Spis_XP_022801910_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_12A	cApUp	930.3804025044	1.15034170284761	0.265878497077711	4.82155595384168e-07	1.79897609922226e-05	none	308.50579019047	2.0059821484248	0.27732975170719	8.13329661288331e-15	2.2604831863736e-13
Cvig_XP_022316695.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	2.03787254910832	2.47523098423787	1.14918844808646	0.000202567270942958	0.00101994965074152
Cvig_XP_022316697.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	27.0912863164539	3.30931550049426	0.430055601148507	9.68623447897929e-17	3.27143754431908e-15
Cvig_XP_022318171.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	2578.5543596245	1.19086863779539	0.370143067490705	0.000205459527316732	0.00103269929719667
Cvig_XP_022318577.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	4577.69690239271	3.16519877926903	0.179443469340622	1.13440293695264e-71	1.70403526886529e-68
Cvig_XP_022318578.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	294.539551290482	3.13555011665516	0.289595308392271	2.08168504024147e-29	2.43210202201545e-27
Cvig_XP_022318580.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	391.789458002416	2.97440243933616	0.294717975350073	4.70137247796095e-26	3.99743382256815e-24
Cvig_XP_022318589.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	1.34276553324774	1.76052626066819	1.1301306603127	0.002553792252224	0.00937718270241021
Cvig_XP_022319931.1	Spis_XP_022797832_1	AAA_30/AAA_12/RNB/RNB/AAA_11/AAA_12/	helicase_with_zinc_finger_2	cApUp	1166.18487351031	1.15053444382651	0.262851785512011	3.8632293974592e-07	1.47417321780318e-05	none	194.908900454181	2.99051265555038	0.378101499665837	1.83854805112197e-17	6.78327465177105e-16
Cvig_XP_022312924.1	Spis_XP_022799486_1	DED/Death/	nerve_growth_factor_receptor	cApUp	764.712140306499	1.15813793455069	0.412320505838964	0.000104313681400315	0.00195846437299984	none	991.829769555127	1.84681116320432	0.212460088401648	9.14255150580878e-20	4.17368722504686e-18
Cvig_XP_022322582.1	Spis_XP_022786075_1	HEPN/	sacsin_molecular_chaperone	cApUp	669.103871089719	1.16383573032945	0.292803532638065	2.06508949581756e-06	6.64958817653253e-05	none	716.87571545383	1.32205756392267	0.30909198883968	2.17373546441036e-06	1.70488526168137e-05
Cvig_XP_022308333.1	Spis_XP_022805252_1	Kringle/fn3/fn3/fn3/	DS_cell_adhesion_molecule_like_1	cApUp	382.717476754383	1.16559511285249	0.203551363236171	3.8334416123911e-10	2.7388716881722e-08	none	6.40786792612855	1.50514170875401	0.597843229238705	0.000690212252666562	0.00302063616958472
Cvig_XP_022314034.1	Spis_XP_022794230_1	DEAD/Helicase_C/HA2/Nup35_RRM_2/	DEAD.HG2.2:like:DHX15/DHX16/DHX33/DHX38/DHX40:likeclu:7/10/15/17/18	cApUp	549.423323981478	1.16736695921291	0.28094343857425	9.8911019946932e-07	3.42415675238967e-05	none	212.710943937721	2.0006602351003	0.489900443840299	7.76976368784711e-07	6.65663214375712e-06
Cvig_XP_022327509.1	Spis_XP_022794230_1	DEAD/Helicase_C/HA2/Nup35_RRM_2/	DEAD.HG2.2:like:DHX15/DHX16/DHX33/DHX38/DHX40:likeclu:7/10/15/17/18	cApUp	549.423323981478	1.16736695921291	0.28094343857425	9.8911019946932e-07	3.42415675238967e-05	none	5.59083743232439	1.87880742603829	1.10190333450065	0.00157577126365686	0.00618178143415689
Cvig_XP_022344534.1	Spis_XP_022794230_1	DEAD/Helicase_C/HA2/Nup35_RRM_2/	DEAD.HG2.2:like:DHX15/DHX16/DHX33/DHX38/DHX40:likeclu:7/10/15/17/18	cApUp	549.423323981478	1.16736695921291	0.28094343857425	9.8911019946932e-07	3.42415675238967e-05	none	1071.40900636119	1.58074859247401	0.298958787212874	6.73906021707076e-09	8.33988444674371e-08
Cvig_XP_022304992.1	Spis_XP_022800197_1	Mab-21/	mab_21_like_1	cApUp	225.182278997741	1.19528559778689	0.437131145508414	0.000123796228181178	0.00224706883368862	cGLR	1014.29767756904	3.72414422037417	0.333625702280392	4.97744754615348e-31	6.59720936316855e-29
Cvig_XP_022304998.1	Spis_XP_022800197_1	Mab-21/	mab_21_like_1	cApUp	225.182278997741	1.19528559778689	0.437131145508414	0.000123796228181178	0.00224706883368862	cGLR	1295.12015140131	3.6484267123285	0.257209859591804	9.94832946993348e-48	4.54811671201524e-45
Cvig_XP_022308203.1	Spis_XP_022800197_1	Mab-21/	mab_21_like_1	cApUp	225.182278997741	1.19528559778689	0.437131145508414	0.000123796228181178	0.00224706883368862	cGLR	34.5291106801215	2.79979418935378	0.411630480829909	7.09933278040362e-14	1.78444982117795e-12
Cvig_XP_022311237.1	Spis_XP_022785619_1	NACHT/	""	cApUp	1668.58637155795	1.19807243018886	0.34462170101927	1.27223478907197e-05	0.000324960074600804	none	2.00109084379507	1.27457934654887	0.80223130077581	0.00946571737620881	0.0285464679380982
Cvig_XP_022327447.1	Spis_XP_022805004_1	""	""	cApUp	362.517074084212	1.20624245949176	0.258895373730805	1.0327962701664e-07	4.49572391232063e-06	none	242.919763924875	1.07355823771951	0.224782213620247	4.22718195413902e-07	3.81644117754194e-06
Cvig_XP_022328389.1	Spis_XP_022805004_1	""	""	cApUp	362.517074084212	1.20624245949176	0.258895373730805	1.0327962701664e-07	4.49572391232063e-06	none	284.722824837633	1.60066354323514	0.261154443957854	4.58449430883401e-11	7.96332897727029e-10
Cvig_XP_022336540.1	Spis_XP_022805004_1	""	""	cApUp	362.517074084212	1.20624245949176	0.258895373730805	1.0327962701664e-07	4.49572391232063e-06	none	725.380172870258	1.32352872400742	0.315395312378724	3.09114273525843e-06	2.35759423558334e-05
