gene	group	gene_id	gene_description	tf_family
Cvig_LOC111105509	1	111105509	runt-related transcription factor 1-like%2C transcript variant X3 && sp|Q03347|RUNX1_MOUSE Runt-related transcription factor 1 OS=Mus musculus OX=10090 GN=Runx1 PE=1 SV=1 && PF00853:Runt domain	Runt
Cvig_LOC111100061	1	111100061	uncharacterized LOC111100061 && - && -	""
Cvig_LOC111136285	1	111136285	uncharacterized LOC111136285 && - && PF13920:Zinc finger, C3HC4 type (RING finger)	""
Cvig_LOC111134976	1	111134976	hydroxylysine kinase-like%2C transcript variant X1 && sp|Q5U5V2|HYKK_MOUSE Hydroxylysine kinase OS=Mus musculus OX=10090 GN=Hykk PE=1 SV=2 && PF01636:Phosphotransferase enzyme family	APH
Cvig_LOC111129674	1	111129674	uncharacterized LOC111129674 && - && -	""
Cvig_LOC111110244	1	111110244	uncharacterized LOC111110244%2C transcript variant X7 && - && -	""
Cvig_LOC111119679	1	111119679	midnolin-A-like && sp|Q7ZWN4|MIDNA_XENLA Midnolin-A OS=Xenopus laevis OX=8355 GN=midn-a PE=2 SV=1 && PF00240:Ubiquitin family	ubiquitin
Cvig_LOC111104676	1	111104676	metabotropic glutamate receptor 1-like && sp|P97772|GRM1_MOUSE Metabotropic glutamate receptor 1 OS=Mus musculus OX=10090 GN=Grm1 PE=1 SV=2 && PF00003:7 transmembrane sweet-taste receptor of 3 GCPR|PF07562:Nine Cysteines Domain of family 3 GPCR|PF01094:Receptor family ligand binding region	ANF_receptor
Cvig_LOC111121296	1	111121296	uncharacterized LOC111121296%2C transcript variant X2 && sp|P49868|HR3_GALME Probable nuclear hormone receptor HR3 OS=Galleria mellonella OX=7137 GN=HR3 PE=2 SV=1 && PF00104:Ligand-binding domain of nuclear hormone receptor|PF00105:Zinc finger, C4 type (two domains)	zf-C4
Cvig_LOC111108232	1	111108232	5-aminolevulinate synthase%2C erythroid-specific%2C mitochondrial-like%2C transcript variant X1 && sp|P43091|HEM1_OPSTA 5-aminolevulinate synthase, nonspecific, mitochondrial OS=Opsanus tau OX=8068 GN=alas1 PE=2 SV=1 && PF09029:5-aminolevulinate synthase presequence|PF00155:Aminotransferase class I and II	Aminotran_1_2
Cvig_LOC111104100	1	111104100	metabotropic glutamate receptor 1-like && sp|P97772|GRM1_MOUSE Metabotropic glutamate receptor 1 OS=Mus musculus OX=10090 GN=Grm1 PE=1 SV=2 && PF07562:Nine Cysteines Domain of family 3 GPCR|PF00003:7 transmembrane sweet-taste receptor of 3 GCPR|PF01094:Receptor family ligand binding region	ANF_receptor
Cvig_LOC111135361	1	111135361	ribosomal protein S6 kinase beta-1-like && sp|P67998|KS6B1_RABIT Ribosomal protein S6 kinase beta-1 OS=Oryctolagus cuniculus OX=9986 GN=RPS6KB1 PE=2 SV=1 && PF00069:Protein kinase domain|PF00433:Protein kinase C terminal domain	Pkinase
Cvig_LOC111135082	1	111135082	solute carrier family 2%2C facilitated glucose transporter member 1-like && sp|P19357|GLUT4_RAT Solute carrier family 2, facilitated glucose transporter member 4 OS=Rattus norvegicus OX=10116 GN=Slc2a4 PE=1 SV=1 && PF00083:Sugar (and other) transporter	Sugar_tr
Cvig_LOC111127708	1	111127708	neural cell adhesion molecule L1-like && sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1 && PF13882:Bravo-like intracellular region	""
Cvig_LOC111129029	1	111129029	midnolin-A-like && sp|Q7ZWN4|MIDNA_XENLA Midnolin-A OS=Xenopus laevis OX=8355 GN=midn-a PE=2 SV=1 && PF00240:Ubiquitin family	ubiquitin
Cvig_LOC111136814	1	111136814	cytochrome P450 2J5-like%2C transcript variant X2 && sp|O54749|CP2J5_MOUSE Cytochrome P450 2J5 OS=Mus musculus OX=10090 GN=Cyp2j5 PE=1 SV=1 && PF00067:Cytochrome P450	p450
Cvig_LOC111124694	1	111124694	CD109 antigen-like%2C transcript variant X1 && sp|Q6YHK3|CD109_HUMAN CD109 antigen OS=Homo sapiens OX=9606 GN=CD109 PE=1 SV=2 && PF07703:Alpha-2-macroglobulin bait region domain|PF00207:Alpha-2-macroglobulin family|PF17791:Macroglobulin domain MG3|PF07678:A-macroglobulin TED domain|PF01835:MG2 domain|PF07677:A-macroglobulin receptor binding domain	A2M_comp
Cvig_LOC111135557	1	111135557	phosphatidylinositol 4%2C5-bisphosphate 3-kinase catalytic subunit alpha isoform-like%2C transcript variant X3 && sp|A0A0G2K344|PK3CA_RAT Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Rattus norvegicus OX=10116 GN=Pik3ca PE=1 SV=1 && PF00454:Phosphatidylinositol 3- and 4-kinase|PF00792:Phosphoinositide 3-kinase C2|PF02192:PI3-kinase family, p85-binding domain|PF00794:PI3-kinase family, ras-binding domain|PF00613:Phosphoinositide 3-kinase family, accessory domain (PIK domain)	PI3Ka
Cvig_LOC111129328	1	111129328	uncharacterized LOC111129328%2C transcript variant X1 && sp|Q9NR21|PAR11_HUMAN Protein mono-ADP-ribosyltransferase PARP11 OS=Homo sapiens OX=9606 GN=PARP11 PE=1 SV=2 && PF00644:Poly(ADP-ribose) polymerase catalytic domain	""
Cvig_LOC111138322	1	111138322	uncharacterized LOC111138322 && - && PF05721:Phytanoyl-CoA dioxygenase (PhyH)	PhyH
Cvig_LOC111099567	1	111099567	uncharacterized LOC111099567%2C transcript variant X2 && - && -	""
Cvig_LOC111126469	1	111126469	uncharacterized LOC111126469%2C transcript variant X2 && - && -	""
Cvig_LOC111117188	1	111117188	inverted formin-2-like && sp|Q6NTV6|INF2_XENLA Inverted formin-2 OS=Xenopus laevis OX=8355 GN=inf2 PE=2 SV=1 && PF06371:Diaphanous GTPase-binding Domain|PF06367:Diaphanous FH3 Domain	""
Cvig_LOC111117189	1	111117189	inverted formin-2-like && sp|Q6NTV6|INF2_XENLA Inverted formin-2 OS=Xenopus laevis OX=8355 GN=inf2 PE=2 SV=1 && PF06371:Diaphanous GTPase-binding Domain|PF06367:Diaphanous FH3 Domain	""
Cvig_LOC111128718	1	111128718	signal transducer and activator of transcription 5B-like%2C transcript variant X1 && sp|P42229|STA5A_HUMAN Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1 && PF02865:STAT protein, protein interaction domain|PF00017:SH2 domain|PF01017:STAT protein, all-alpha domain|PF02864:STAT protein, DNA binding domain	STAT_bind
Cvig_LOC111102980	1	111102980	tripartite motif-containing protein 2-like && sp|Q56R14|TRI33_XENLA E3 ubiquitin-protein ligase TRIM33 OS=Xenopus laevis OX=8355 GN=trim33 PE=1 SV=1 && PF13445:RING-type zinc-finger|PF00643:B-box zinc finger	zf-B_box
Cvig_LOC111123374	1	111123374	cyclic nucleotide-binding domain-containing protein 2-like%2C transcript variant X1 && sp|P16905|KAPR1_DROME cAMP-dependent protein kinase type I regulatory subunit OS=Drosophila melanogaster OX=7227 GN=Pka-R1 PE=1 SV=2 && PF00027:Cyclic nucleotide-binding domain	cNMP_binding
Cvig_novel.501	1	novel.501	""	""
Cvig_LOC111130303	1	111130303	poly [ADP-ribose] polymerase 8-like && sp|Q3UD82|PARP8_MOUSE Protein mono-ADP-ribosyltransferase PARP8 OS=Mus musculus OX=10090 GN=Parp8 PE=2 SV=1 && PF00644:Poly(ADP-ribose) polymerase catalytic domain	""
Cvig_LOC111129998	1	111129998	ubiquitin-like modifier-activating enzyme 1%2C transcript variant X1 && sp|Q5U300|UBA1_RAT Ubiquitin-like modifier-activating enzyme 1 OS=Rattus norvegicus OX=10116 GN=Uba1 PE=1 SV=1 && PF16190:Ubiquitin-activating enzyme E1 FCCH domain|PF09358:Ubiquitin fold domain|PF00899:ThiF family|PF16191:Ubiquitin-activating enzyme E1 four-helix bundle|PF10585:Ubiquitin-activating enzyme active site	""
Cvig_LOC111132997	1	111132997	ubiquitin carboxyl-terminal hydrolase CYLD-like%2C transcript variant X1 && sp|Q1RMU2|CYLD_BOVIN Ubiquitin carboxyl-terminal hydrolase CYLD OS=Bos taurus OX=9913 GN=CYLD PE=2 SV=1 && PF01302:CAP-Gly domain|PF00443:Ubiquitin carboxyl-terminal hydrolase	UCH
Cvig_LOC111130067	1	111130067	putative transcription factor p65 homolog && sp|P15330|DORS_DROME Embryonic polarity protein dorsal OS=Drosophila melanogaster OX=7227 GN=dl PE=1 SV=2 && PF16179:Rel homology dimerisation domain|PF00554:Rel homology DNA-binding domain	RHD
Cvig_LOC111132071	1	111132071	uncharacterized LOC111132071 && - && -	""
Cvig_LOC111133053	1	111133053	organic cation transporter protein-like && sp|Q9VCA2|ORCT_DROME Organic cation transporter protein OS=Drosophila melanogaster OX=7227 GN=Orct PE=1 SV=1 && PF00083:Sugar (and other) transporter	Sugar_tr
Cvig_LOC111128537	1	111128537	uncharacterized LOC111128537%2C transcript variant X3 && - && PF13424:Tetratricopeptide repeat	""
Cvig_LOC111101863	1	111101863	DNA damage-regulated autophagy modulator protein 2-like%2C transcript variant X2 && - && PF10277:Frag1/DRAM/Sfk1 family	""
Cvig_LOC111125960	1	111125960	ral guanine nucleotide dissociation stimulator-like%2C transcript variant X3 && sp|Q60695|RGL1_MOUSE Ral guanine nucleotide dissociation stimulator-like 1 OS=Mus musculus OX=10090 GN=Rgl1 PE=1 SV=2 && PF00617:RasGEF domain|PF00618:RasGEF N-terminal motif|PF00788:Ras association (RalGDS/AF-6) domain	RA
Cvig_LOC111123368	1	111123368	natural resistance-associated macrophage protein 2-like%2C transcript variant X2 && sp|P49282|NRAM2_MOUSE Natural resistance-associated macrophage protein 2 OS=Mus musculus OX=10090 GN=Slc11a2 PE=1 SV=2 && PF01566:Natural resistance-associated macrophage protein	""
Cvig_LOC111115088	1	111115088	protein PML-like && - && -	""
Cvig_LOC111115845	1	111115845	uncharacterized LOC111115845 && - && -	""
Cvig_LOC111123246	1	111123246	tenascin-X-like%2C transcript variant X2 && - && -	""
Cvig_LOC111126260	1	111126260	dehydrogenase/reductase SDR family member 9-like && sp|Q3T001|H17B6_BOVIN 17-beta-hydroxysteroid dehydrogenase type 6 OS=Bos taurus OX=9913 GN=HSD17B6 PE=2 SV=1 && PF00106:short chain dehydrogenase	adh_short
Cvig_LOC111121040	1	111121040	uncharacterized LOC111121040 && - && -	""
Cvig_LOC111107910	1	111107910	helicase ARIP4-like && sp|A4IHD2|ARIP4_XENTR Helicase ARIP4 OS=Xenopus tropicalis OX=8364 GN=rad54l2 PE=2 SV=1 && -	""
Cvig_LOC111105683	1	111105683	uncharacterized LOC111105683 && sp|P46023|GR101_LYMST G-protein coupled receptor GRL101 OS=Lymnaea stagnalis OX=6523 PE=2 SV=1 && PF16977:C-terminal domain of apextrin|PF00057:Low-density lipoprotein receptor domain class A|PF00754:F5/8 type C domain|PF00001:7 transmembrane receptor (rhodopsin family)|PF00059:Lectin C-type domain|PF13306:BspA type Leucine rich repeat region (6 copies)|PF00431:CUB domain	7tm_1
Cvig_LOC111103192	1	111103192	metabotropic glutamate receptor 5-like && sp|P41594|GRM5_HUMAN Metabotropic glutamate receptor 5 OS=Homo sapiens OX=9606 GN=GRM5 PE=1 SV=2 && PF00003:7 transmembrane sweet-taste receptor of 3 GCPR|PF07562:Nine Cysteines Domain of family 3 GPCR	7tm_3
Cvig_LOC111132865	1	111132865	fibronectin type-III domain-containing protein 3A-like%2C transcript variant X7 && sp|Q8BX90|FND3A_MOUSE Fibronectin type-III domain-containing protein 3A OS=Mus musculus OX=10090 GN=Fndc3a PE=1 SV=3 && PF00041:Fibronectin type III domain	fn3
Cvig_LOC111113042	1	111113042	ETS homologous factor-like%2C transcript variant X6 && sp|Q3UPW2|ELF3_MOUSE ETS-related transcription factor Elf-3 OS=Mus musculus OX=10090 GN=Elf3 PE=1 SV=1 && PF00178:Ets-domain|PF02198:Sterile alpha motif (SAM)/Pointed domain	Ets
Cvig_LOC111130380	1	111130380	hillarin-like%2C transcript variant X1 && - && PF01841:Transglutaminase-like superfamily	Transglut_core
Cvig_LOC111123661	1	111123661	cytosolic phospholipase A2-like%2C transcript variant X3 && sp|P47712|PA24A_HUMAN Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2 && PF01735:Lysophospholipase catalytic domain|PF00168:C2 domain	C2
Cvig_LOC111126106	1	111126106	P protein-like && sp|Q8MIQ9|P_PIG P protein OS=Sus scrofa OX=9823 GN=Oca2 PE=2 SV=3 && PF03600:Citrate transporter	""
Cvig_LOC111121682	1	111121682	uncharacterized LOC111121682 && sp|Q63369|NFKB1_RAT Nuclear factor NF-kappa-B p105 subunit (Fragment) OS=Rattus norvegicus OX=10116 GN=Nfkb1 PE=1 SV=1 && PF18738:DZIP3/ hRUL138-like HEPN|PF12796:Ankyrin repeats (3 copies)	""
Cvig_LOC111113166	1	111113166	neurogenic locus notch homolog protein 1-like%2C transcript variant X1 && sp|Q9XTD6|NAS12_CAEEL Zinc metalloproteinase nas-12 OS=Caenorhabditis elegans OX=6239 GN=nas-12 PE=2 SV=2 && PF00008:EGF-like domain|PF01400:Astacin (Peptidase family M12A)	Astacin
Cvig_LOC111111096	1	111111096	laccase-2-like && sp|Q9FY79|LAC14_ARATH Laccase-14 OS=Arabidopsis thaliana OX=3702 GN=LAC14 PE=2 SV=1 && PF00394:Multicopper oxidase|PF07731:Multicopper oxidase	""
Cvig_LOC111099678	1	111099678	natural resistance-associated macrophage protein 2-like%2C transcript variant X3 && sp|P49282|NRAM2_MOUSE Natural resistance-associated macrophage protein 2 OS=Mus musculus OX=10090 GN=Slc11a2 PE=1 SV=2 && PF01566:Natural resistance-associated macrophage protein	""
Cvig_LOC111113087	1	111113087	keratin%2C type I cytoskeletal 10-like && - && -	""
Cvig_LOC111111665	1	111111665	uncharacterized LOC111111665 && sp|Q7Z442|PK1L2_HUMAN Polycystic kidney disease protein 1-like 2 OS=Homo sapiens OX=9606 GN=PKD1L2 PE=1 SV=5 && PF01477:PLAT/LH2 domain|PF01822:WSC domain|PF01825:GPCR proteolysis site, GPS, motif|PF00801:PKD domain|PF02010:REJ domain|PF08016:Polycystin cation channel	""
Cvig_LOC111111831	1	111111831	uncharacterized LOC111111831 && sp|Q7TN88|PK1L2_MOUSE Polycystic kidney disease protein 1-like 2 OS=Mus musculus OX=10090 GN=Pkd1l2 PE=2 SV=1 && PF02010:REJ domain|PF01477:PLAT/LH2 domain|PF01822:WSC domain|PF08016:Polycystin cation channel|PF00801:PKD domain|PF01825:GPCR proteolysis site, GPS, motif	""
Cvig_LOC111100633	1	111100633	baculoviral IAP repeat-containing protein 7-like%2C transcript variant X1 && sp|Q90660|BIR_CHICK Inhibitor of apoptosis protein OS=Gallus gallus OX=9031 GN=ITA PE=2 SV=1 && PF00653:Inhibitor of Apoptosis domain|PF13920:Zinc finger, C3HC4 type (RING finger)	BIR
Cvig_LOC111100324	1	111100324	NFX1-type zinc finger-containing protein 1-like%2C transcript variant X2 && sp|Q9P2E3|ZNFX1_HUMAN NFX1-type zinc finger-containing protein 1 OS=Homo sapiens OX=9606 GN=ZNFX1 PE=2 SV=2 && PF13086:AAA domain|PF13087:AAA domain	""
Cvig_LOC111132461	1	111132461	mucin-12-like && - && -	""
Cvig_LOC111129611	1	111129611	uncharacterized LOC111129611 && - && PF00515:Tetratricopeptide repeat|PF13424:Tetratricopeptide repeat	TPR_1
Cvig_novel.2115	1	novel.2115	""	""
Cvig_LOC111135351	1	111135351	uncharacterized LOC111135351%2C transcript variant X1 && - && PF18112:Autophagy receptor zinc finger-C2H2 domain	""
Cvig_LOC111101011	1	111101011	uncharacterized LOC111101011%2C transcript variant X2 && sp|Q55E58|PATS1_DICDI Probable serine/threonine-protein kinase pats1 OS=Dictyostelium discoideum OX=44689 GN=pats1 PE=3 SV=1 && PF12796:Ankyrin repeats (3 copies)|PF16095:C-terminal of Roc, COR, domain|PF08477:Ras of Complex, Roc, domain of DAPkinase	""
Cvig_LOC111138177	1	111138177	tripartite motif-containing protein 45-like && - && PF00643:B-box zinc finger	zf-B_box
Cvig_LOC111129380	1	111129380	hemicentin-1-like && sp|Q96RW7|HMCN1_HUMAN Hemicentin-1 OS=Homo sapiens OX=9606 GN=HMCN1 PE=1 SV=2 && PF00047:Immunoglobulin domain|PF13927:Immunoglobulin domain|PF07679:Immunoglobulin I-set domain|PF01392:Fz domain	Fz
Cvig_LOC111106293	1	111106293	inter-alpha-trypsin inhibitor heavy chain H4-like && sp|Q61704|ITIH3_MOUSE Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus OX=10090 GN=Itih3 PE=1 SV=3 && PF08487:Vault protein inter-alpha-trypsin domain|PF00092:von Willebrand factor type A domain	VWA
Cvig_LOC111122671	1	111122671	uncharacterized LOC111122671%2C transcript variant X3 && - && PF00531:Death domain|PF00020:TNFR/NGFR cysteine-rich region	Death
Cvig_novel.1109	1	novel.1109	""	""
Cvig_LOC111100805	1	111100805	uncharacterized LOC111100805 && - && -	""
Cvig_LOC111120137	1	111120137	mutS protein homolog 5-like%2C transcript variant X2 && sp|Q9QUM7|MSH5_MOUSE MutS protein homolog 5 OS=Mus musculus OX=10090 GN=Msh5 PE=1 SV=1 && PF05192:MutS domain III|PF05190:MutS family domain IV|PF00488:MutS domain V	""
Cvig_LOC111127020	1	111127020	uncharacterized LOC111127020 && - && PF00531:Death domain	Death
Cvig_LOC111102350	1	111102350	uncharacterized LOC111102350 && sp|A5JYS0|PCS1_CAEEL Glutathione gamma-glutamylcysteinyltransferase OS=Caenorhabditis elegans OX=6239 GN=pcs-1 PE=1 SV=1 && PF05023:Phytochelatin synthase	""
Cvig_LOC111118003	1	111118003	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1-like && sp|Q15750|TAB1_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens OX=9606 GN=TAB1 PE=1 SV=1 && PF00481:Protein phosphatase 2C	PP2C
Cvig_LOC111136414	1	111136414	E3 ubiquitin-protein ligase TRAF7-like%2C transcript variant X2 && sp|P20484|MAK11_YEAST Protein MAK11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MAK11 PE=1 SV=2 && PF00400:WD domain, G-beta repeat|PF13445:RING-type zinc-finger	WD40
Cvig_LOC111136196	1	111136196	organic cation transporter protein-like && sp|Q9VCA2|ORCT_DROME Organic cation transporter protein OS=Drosophila melanogaster OX=7227 GN=Orct PE=1 SV=1 && PF00083:Sugar (and other) transporter	Sugar_tr
Cvig_LOC111124638	1	111124638	CD109 antigen-like%2C transcript variant X1 && sp|Q6YHK3|CD109_HUMAN CD109 antigen OS=Homo sapiens OX=9606 GN=CD109 PE=1 SV=2 && PF07678:A-macroglobulin TED domain|PF17791:Macroglobulin domain MG3|PF07677:A-macroglobulin receptor binding domain|PF00207:Alpha-2-macroglobulin family|PF01835:MG2 domain|PF07703:Alpha-2-macroglobulin bait region domain	A2M_comp
Cvig_LOC111131627	1	111131627	uncharacterized LOC111131627 && - && -	""
Cvig_LOC111121563	1	111121563	excitatory amino acid transporter 1-like%2C transcript variant X2 && sp|O57321|EAA1_AMBTI Excitatory amino acid transporter 1 OS=Ambystoma tigrinum OX=8305 GN=SLC1A3 PE=1 SV=1 && PF00375:Sodium:dicarboxylate symporter family	SDF
Cvig_LOC111121307	1	111121307	FMRFamide receptor-like && sp|Q80UC8|GP139_MOUSE Probable G-protein coupled receptor 139 OS=Mus musculus OX=10090 GN=Gpr139 PE=2 SV=2 && PF00001:7 transmembrane receptor (rhodopsin family)	7tm_1
Cvig_LOC111131707	1	111131707	follistatin-like && sp|Q9YHV4|FSTA_DANRE Follistatin-A OS=Danio rerio OX=7955 GN=fsta PE=2 SV=2 && PF07648:Kazal-type serine protease inhibitor domain	""
Cvig_LOC111127917	1	111127917	TNF receptor-associated factor 3-like%2C transcript variant X1 && sp|Q60803|TRAF3_MOUSE TNF receptor-associated factor 3 OS=Mus musculus OX=10090 GN=Traf3 PE=1 SV=2 && PF02176:TRAF-type zinc finger	""
Cvig_LOC111130984	1	111130984	uncharacterized LOC111130984%2C transcript variant X2 && - && -	""
Cvig_LOC111122746	1	111122746	N-acetylglucosamine-6-phosphate deacetylase-like%2C transcript variant X1 && sp|Q6P0U0|NAGA_DANRE N-acetylglucosamine-6-phosphate deacetylase OS=Danio rerio OX=7955 GN=amdhd2 PE=2 SV=1 && PF01979:Amidohydrolase family|PF04500:FLYWCH zinc finger domain	Amidohydro_1
Cvig_LOC111099536	1	111099536	uncharacterized LOC111099536 && - && -	""
Cvig_LOC111099537	1	111099537	uncharacterized LOC111099537%2C transcript variant X1 && - && -	""
Cvig_LOC111110352	1	111110352	uncharacterized LOC111110352%2C transcript variant X1 && - && -	""
Cvig_LOC111119733	1	111119733	neuronal calcium sensor 2-like%2C transcript variant X3 && sp|P42325|NCAH_DROME Neurocalcin homolog OS=Drosophila melanogaster OX=7227 GN=Nca PE=1 SV=2 && PF13499:EF-hand domain pair|PF13833:EF-hand domain pair	""
Cvig_LOC111110214	1	111110214	nuclear transcription factor Y subunit beta-like%2C transcript variant X1 && sp|Q6RG77|NFYB_HORSE Nuclear transcription factor Y subunit beta OS=Equus caballus OX=9796 GN=NFYB PE=2 SV=1 && PF00808:Histone-like transcription factor (CBF/NF-Y) and archaeal histone	""
Cvig_LOC111133089	1	111133089	uncharacterized LOC111133089%2C transcript variant X2 && - && PF00643:B-box zinc finger	zf-B_box
Cvig_novel.1137	1	novel.1137	""	""
Cvig_LOC111104273	1	111104273	uncharacterized LOC111104273 && - && -	""
Cvig_novel.660	1	novel.660	- && - && PF06083:Interleukin-17	""
Cvig_LOC111101019	1	111101019	uncharacterized LOC111101019 && - && -	""
Cvig_LOC111110573	1	111110573	cholesterol 7-alpha-monooxygenase-like && sp|O75881|CP7B1_HUMAN Cytochrome P450 7B1 OS=Homo sapiens OX=9606 GN=CYP7B1 PE=1 SV=2 && PF00067:Cytochrome P450	p450
Cvig_LOC111102532	1	111102532	uncharacterized LOC111102532 && - && -	""
Cvig_LOC111135075	1	111135075	ATP-binding cassette sub-family F member 3-like && sp|Q8K268|ABCF3_MOUSE ATP-binding cassette sub-family F member 3 OS=Mus musculus OX=10090 GN=Abcf3 PE=1 SV=1 && PF00005:ABC transporter|PF12848:ABC transporter	ABC_tran
Cvig_LOC111121090	1	111121090	inhibitor of nuclear factor kappa-B kinase subunit alpha-like && sp|Q5ZJB4|IKKA_CHICK Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Gallus gallus OX=9031 GN=CHUK PE=2 SV=1 && PF00069:Protein kinase domain|PF18397:IQBAL scaffold dimerization domain	Pkinase
Cvig_novel.247	1	novel.247	""	""
Cvig_LOC111127642	1	111127642	cytosolic phospholipase A2-like%2C transcript variant X2 && sp|P47712|PA24A_HUMAN Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2 && PF01735:Lysophospholipase catalytic domain|PF00168:C2 domain	C2
Cvig_LOC111120538	1	111120538	diacylglycerol kinase epsilon-like%2C transcript variant X1 && sp|Q9R1C6|DGKE_MOUSE Diacylglycerol kinase epsilon OS=Mus musculus OX=10090 GN=Dgke PE=1 SV=1 && PF00781:Diacylglycerol kinase catalytic domain|PF00609:Diacylglycerol kinase accessory domain	""
Cvig_LOC111134260	1	111134260	spermine oxidase-like && sp|Q9NWM0|SMOX_HUMAN Spermine oxidase OS=Homo sapiens OX=9606 GN=SMOX PE=1 SV=1 && PF01593:Flavin containing amine oxidoreductase	Amino_oxidase
Cvig_LOC111103502	1	111103502	protein FAM60A-like%2C transcript variant X2 && sp|Q8C8M1|SHCAF_MOUSE SIN3-HDAC complex-associated factor OS=Mus musculus OX=10090 GN=Sinhcaf PE=1 SV=1 && PF15396:Protein Family FAM60A	""
Cvig_LOC111104447	1	111104447	nacrein-like protein%2C transcript variant X1 && sp|P86856|MANL_MYTCA Nacrein-like protein (Fragment) OS=Mytilus californianus OX=6549 PE=1 SV=1 && PF00194:Eukaryotic-type carbonic anhydrase	""
Cvig_LOC111123827	1	111123827	uncharacterized LOC111123827 && - && PF00041:Fibronectin type III domain	fn3
Cvig_LOC111132041	1	111132041	ubiquitin carboxyl-terminal hydrolase 30-like && sp|A4QNN3|UBP30_XENTR Ubiquitin carboxyl-terminal hydrolase 30 OS=Xenopus tropicalis OX=8364 GN=usp30 PE=2 SV=1 && PF00443:Ubiquitin carboxyl-terminal hydrolase	UCH
Cvig_LOC111129209	1	111129209	uncharacterized LOC111129209 && - && -	""
Cvig_LOC111138145	1	111138145	PRELI domain containing protein 3A-like%2C transcript variant X1 && sp|Q6TMK8|PLD3B_CRIGR PRELI domain containing protein 3B OS=Cricetulus griseus OX=10029 GN=PRELID3B PE=2 SV=1 && PF04707:PRELI-like family	MSF1
